Altium Designer Pick and Place Locations
G:\Projects\My Github Repositories\STM32F103RCT6_Mini_System\Altium\STM32F103RCT6_Mini_System\Project Outputs for STM32F103RCT6_Mini_System\Pick Place for STM32F103RCT6_Mini_System.csv

========================================================================================================================
File Design Information:

Date:       26/04/21
Time:       18:10
Revision:   8a6f0da43acfa6e2d606d7f3bb7c9f30286d4fd9
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U5","BEEP","TopLayer","Bee_5020","423.362","1411.102","360","蜂鸣器5020"
"R24","470","TopLayer","0805_R","910.000","1395.000","225","0805贴片电阻"
"Q3","SS8050","TopLayer","SOT23-3N","600.000","1315.000","360","高频放大-NPN型"
"D3","1N4148","TopLayer","SOD-323","419.882","1270.000","180","高速开关二极管"
"X3","32.768KHz","TopLayer","OSC_3215-2P","419.749","1839.749","135","2脚无源脚晶振"
"X2","8M","TopLayer","OSC_3225-4P","577.106","1614.432","225","4脚无源晶振"
"X1","12M","TopLayer","OSC_3225-4P","905.000","1180.000","180","4脚无源晶振"
"V1","CJA1117B","TopLayer","SOT89_N","681.567","25.945","90","三端稳压芯片"
"U4","STM32F103RCT6","TopLayer","LQFP64_10X10_N","892.503","1836.515","315","32位STM单片机"
"U3","662K","BottomLayer","SOT23-3N","120.000","1055.000","180","线性LDO三极管稳压器芯片XC6206P332MR
印字662K 封装SOT23"
"U2","AT24C02","BottomLayer","SOP8_N","1230.000","2160.000","225","256KB，I2C通信"
"U1","0.42' OLED","TopLayer","OLED_0.42'","460.000","928.803","90","0.42寸OLED显示屏
驱动芯片SSD1306"
